text,rating,date
I have mixed feelings about the create lists.,3,2024-12-03
"Average to-do lists, does what it's supposed to do.",3,2025-05-12
This app is great!,3,2025-03-12
The set reminders is too complicated and confusing.,1,2025-01-27
"I'm using the sharing tasks occasionally, it's decent.",3,2025-03-24
Needs improvement.,4,2025-04-13
"The your tasks is terrible, doesn't work at all.",2,2025-02-06
Too many ads!,1,2024-11-22
"The boost productivity is okay, but could be better.",3,2025-01-13
I'm really enjoying the your progress in this update.,4,2025-03-27
"The your tasks works flawlessly, very impressed.",4,2024-12-07
Can't get the boost productivity to work properly. Uninstalling!,1,2025-01-08
I have mixed feelings about the boost productivity.,3,2025-01-15
"Not sure about the visual charts, it's a bit hit or miss.",3,2025-04-05
The set priorities is too complicated and confusing.,1,2024-12-10
"The create lists works, but it's nothing special.",3,2024-11-25
"The set priorities is amazing, best app I've used.",4,2025-01-17
Finally an app with a good sharing tasks. Five stars!,5,2025-03-11
This app has a great set priorities that makes everything easier.,4,2025-04-06
"Terrible app, don't waste your time.",3,2025-01-25
"The better scheduling is okay, but could be better.",3,2025-02-08
This app has a great boost productivity that makes everything easier.,4,2025-04-01
Finally an app with a good your progress. Five stars!,4,2025-02-21
This app would be good if the sharing tasks actually worked.,2,2025-01-14
"Great all your devices, intuitive and easy to use!",4,2024-12-30
Needs improvement.,3,2025-02-02
This app would be good if the organize tasks actually worked.,1,2025-02-20
I have mixed feelings about the your tasks.,3,2025-02-07
"Terrible app, don't waste your time.",4,2025-01-08
"Disappointed with the your progress, needs improvement.",1,2025-01-27
Works well on my device.,3,2024-12-21
"The your tasks is terrible, doesn't work at all.",2,2025-04-27
This app is great!,5,2025-01-22
Simple and easy to use.,4,2025-02-14
Not worth the storage space.,5,2025-04-08
"The set priorities works, but it's nothing special.",3,2025-03-29
I'm really enjoying the all your devices in this update.,5,2024-11-19
"The better scheduling is terrible, doesn't work at all.",2,2025-04-05
Can't get it to work properly.,4,2024-12-12
I hate how the create lists keeps crashing.,2,2025-02-14
This app has a great create lists that makes everything easier.,4,2025-01-11
Can't get the your productivity to work properly. Uninstalling!,2,2024-12-29
Can't get the calendar apps to work properly. Uninstalling!,1,2024-11-15
I'm really enjoying the set reminders in this update.,5,2025-02-09
"Average your accomplishments, does what it's supposed to do.",3,2025-05-11
"Disappointed with the set priorities, needs improvement.",2,2025-01-01
"Average find tasks, does what it's supposed to do.",3,2024-11-29
Too many ads!,2,2025-01-31
The track progress is full of glitches. Fix it please!,1,2025-04-02
I hate how the sharing tasks keeps crashing.,1,2025-03-29
"The your tasks is terrible, doesn't work at all.",2,2024-11-22
"Average your progress, does what it's supposed to do.",3,2025-05-01
all your devices is exactly what I needed. Great job!,5,2025-02-07
"I'm using the your progress occasionally, it's decent.",3,2025-04-15
"Great our task management app, intuitive and easy to use!",4,2025-05-02
"Disappointed with the use tags, needs improvement.",1,2025-03-16
I love the daily and weekly summaries! It works perfectly.,5,2025-04-07
"The sharing tasks is okay, but could be better.",3,2025-01-05
"The use tags works, but it's nothing special.",3,2025-01-01
"The your productivity is amazing, best app I've used.",4,2025-04-13
"The set priorities is terrible, doesn't work at all.",2,2025-02-23
"The boost productivity is amazing, best app I've used.",5,2024-11-19
"The your progress is terrible, doesn't work at all.",2,2025-03-24
"Great use tags, intuitive and easy to use!",4,2024-12-25
