text,rating,date
"The our personalized recommendation system works flawlessly, very impressed.",5,2025-03-06
"Not sure about the private messaging, it's a bit hit or miss.",3,2024-12-01
Not worth the storage space.,1,2024-12-15
"Not sure about the new content, it's a bit hit or miss.",3,2025-02-23
"Great set privacy, intuitive and easy to use!",5,2025-04-12
The your content is full of glitches. Fix it please!,2,2025-04-10
Works well on my device.,2,2025-04-05
"Not sure about the follow celebrities, it's a bit hit or miss.",3,2025-05-07
The your profile is too complicated and confusing.,2,2025-04-22
I have mixed feelings about the new content.,3,2025-01-16
your favorite celebrities is exactly what I needed. Great job!,5,2024-11-29
"The specific interests is okay, but could be better.",3,2024-12-26
"The our social networking app is okay, but could be better.",3,2025-01-17
"Great share photos, intuitive and easy to use!",4,2025-03-30
This app has a great 24 hours that makes everything easier.,4,2025-01-11
our social networking app is exactly what I needed. Great job!,5,2024-12-12
"Disappointed with the create groups, needs improvement.",1,2025-01-13
This app has a great private messaging that makes everything easier.,5,2024-11-16
"The follow celebrities works, but it's nothing special.",3,2025-02-21
Can't get the private messaging to work properly. Uninstalling!,1,2024-12-27
your followers is exactly what I needed. Great job!,4,2025-01-16
Finally an app with a good follow celebrities. Five stars!,5,2025-01-28
"The share location is terrible, doesn't work at all.",2,2025-05-10
Not worth the storage space.,2,2025-03-16
"I'm using the share location occasionally, it's decent.",3,2024-11-17
Love it!,4,2025-01-01
I have mixed feelings about the post stories.,3,2024-11-17
"Average share photos, does what it's supposed to do.",3,2025-05-12
"Average customize profile, does what it's supposed to do.",3,2024-11-29
This app has a great share photos that makes everything easier.,5,2024-12-23
"Great share location, intuitive and easy to use!",5,2025-04-03
Finally an app with a good new content. Five stars!,4,2025-03-16
"Great share location, intuitive and easy to use!",5,2025-03-08
App keeps crashing on my phone.,2,2025-03-20
The 24 hours is functional but basic.,3,2024-12-07
I'm really enjoying the create groups in this update.,4,2025-05-13
Worth the download.,4,2025-02-26
Too many ads!,3,2024-11-22
private messaging is buggy and frustrating to use.,2,2025-05-14
Worth the download.,1,2025-01-30
our personalized recommendation system is exactly what I needed. Great job!,5,2025-04-24
Simple and easy to use.,2,2024-12-14
"Disappointed with the 24 hours, needs improvement.",1,2025-03-30
"Terrible app, don't waste your time.",1,2025-04-02
"Great follow celebrities, intuitive and easy to use!",4,2025-02-24
Needs improvement.,2,2025-03-25
Love it!,2,2024-11-26
I have mixed feelings about the new content.,3,2025-02-12
I'm really enjoying the your favorite celebrities in this update.,4,2025-04-25
see content is exactly what I needed. Great job!,5,2025-02-08
Not worth the storage space.,4,2025-05-10
App keeps crashing on my phone.,2,2025-02-26
I hate how the see content keeps crashing.,2,2025-03-17
Finally an app with a good your favorite celebrities. Five stars!,5,2025-01-19
"The our social networking app works, but it's nothing special.",3,2024-12-03
This app would be good if the create groups actually worked.,2,2024-11-17
Love it!,1,2024-12-31
The your profile is too complicated and confusing.,2,2024-11-16
I hate how the our personalized recommendation system keeps crashing.,1,2024-12-26
I'm really enjoying the discover content in this update.,4,2025-05-11
The share location is too complicated and confusing.,1,2025-04-13
Works well on my device.,4,2025-01-18
I love the create groups! It works perfectly.,5,2024-11-30
I have mixed feelings about the new content.,3,2025-02-22
